2021-01-04 09:23:22,860| MainThread | INFO | Number of files: 7
2021-01-04 09:23:22,861| MainThread | INFO | Name of files: ['20201222_aocb_2020122_012857o', '20201222_aocb_2020122_043832o', '20201222_aocb_2020122_074836o', '20201222_aocb_2020122_101126o', '20201222_aocb_2020122_121720o', '20201222_aocb_2020122_142344o', '20201222_aocb_2020121_221213o']
2021-01-04 09:23:22,862| MainThread | INFO | ============ STARTING RUN ============
2021-01-04 09:23:22,862| MainThread | INFO | ==|==|==|==|==|== Starting file 1 of 7 ==|==|==|==|==|==
2021-01-04 09:23:22,862| MainThread | INFO | File 0: starting 20201222_aocb_2020122_012857o
2021-01-04 09:23:22,862| MainThread | INFO |    0 name: 20201222_aocb_2020122_012857o
2021-01-04 09:23:22,862| MainThread | INFO |    0 d_file: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:23:22,862| MainThread | INFO |    0 o_dirs: /home/emcewen/out_sim/20201222/
2021-01-04 09:23:22,863| MainThread | INFO |    0 t_file: /home/emcewen/data/target_input/simul_4GS_12am_6mag_USNOB_GS.txt
2021-01-04 09:23:22,863| MainThread | INFO | ======== 20201222_aocb_2020122_012857o ========
2021-01-04 09:23:22,863| MainThread | INFO | == sub_len = 0 
2021-01-04 09:23:22,863| MainThread | INFO | == s_sub = False 
2021-01-04 09:23:22,863| MainThread | INFO | == tt_sub = False 
2021-01-04 09:23:22,863| MainThread | DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:23:22,863| MainThread | DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:23:22,892| MainThread | DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:23:22,961| MainThread | DEBUG| path created: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:23:22,961| MainThread | DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:23:22,961| MainThread | DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:23:22,961| MainThread | INFO | ====> Starting acor
2021-01-04 09:23:22,961| MainThread | INFO | Generating auto corr tmax = 200
2021-01-04 09:25:02,976| MainThread | INFO | Number of files: 7
2021-01-04 09:25:02,977| MainThread | INFO | Name of files: ['20201222_aocb_2020122_012857o', '20201222_aocb_2020122_043832o', '20201222_aocb_2020122_074836o', '20201222_aocb_2020122_101126o', '20201222_aocb_2020122_121720o', '20201222_aocb_2020122_142344o', '20201222_aocb_2020121_221213o']
2021-01-04 09:25:02,977| MainThread | INFO | ============ STARTING THREAD RUN ============
2021-01-04 09:25:02,977| MainThread | INFO | BEGIN THREADS
2021-01-04 09:25:02,979| ThreadPoolExecutor-0_0| INFO | File 0: starting 20201222_aocb_2020122_012857o
2021-01-04 09:25:02,979| ThreadPoolExecutor-0_1| INFO | File 1: starting 20201222_aocb_2020122_043832o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_0| INFO |    0 name: 20201222_aocb_2020122_012857o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_3| INFO | File 3: starting 20201222_aocb_2020122_101126o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_2| INFO | File 2: starting 20201222_aocb_2020122_074836o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_4| INFO | File 4: starting 20201222_aocb_2020122_121720o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_1| INFO |    1 name: 20201222_aocb_2020122_043832o
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_0| INFO |    0 d_file: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:25:02,980| ThreadPoolExecutor-0_3| INFO |    3 name: 20201222_aocb_2020122_101126o
2021-01-04 09:25:02,981| ThreadPoolExecutor-0_2| INFO |    2 name: 20201222_aocb_2020122_074836o
